               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.044814,            0.016077,            0.029687,             0.50848,             0.36076,             0.32607,             0.17458,            0.042409,           0.0058074,            0.040087,           0.0093268,           0.0093268,           0.0093268
                  36,            0.044611,            0.016126,            0.029331,             0.57168,              0.3578,             0.37072,             0.20568,            0.039875,           0.0055308,            0.040385,            0.009307,            0.009307,            0.009307
                  37,            0.043986,            0.015722,            0.028539,             0.47869,             0.35323,             0.36634,             0.20178,             0.04449,            0.005642,            0.044204,           0.0092872,           0.0092872,           0.0092872
                  38,            0.044149,            0.015716,            0.029294,              0.5068,             0.35151,              0.3766,             0.21003,            0.036509,           0.0057751,            0.032936,           0.0092674,           0.0092674,           0.0092674
                  39,            0.044576,             0.01578,            0.028041,             0.47988,             0.34537,              0.3245,             0.18028,            0.043064,           0.0058493,            0.045435,           0.0092476,           0.0092476,           0.0092476
                  40,            0.043464,            0.015609,            0.027246,              0.4743,             0.39506,             0.38882,             0.19497,            0.043526,           0.0059922,            0.037796,           0.0092278,           0.0092278,           0.0092278
                  41,             0.04385,            0.015602,            0.028605,             0.52097,             0.33059,             0.35048,             0.18719,            0.044177,           0.0059442,            0.046258,            0.009208,            0.009208,            0.009208
                  42,             0.04298,            0.015958,            0.027815,             0.53584,             0.39337,             0.42774,             0.23422,            0.041662,           0.0055275,            0.033477,           0.0091882,           0.0091882,           0.0091882
                  43,            0.043878,            0.015594,            0.027775,             0.54702,             0.40352,             0.42115,             0.24135,             0.04291,           0.0055004,            0.032716,           0.0091684,           0.0091684,           0.0091684
                  44,            0.043531,            0.015684,            0.026848,             0.53223,             0.39426,             0.40648,             0.22356,            0.038359,           0.0056696,            0.045445,           0.0091486,           0.0091486,           0.0091486
                  45,            0.043805,            0.015351,            0.026651,             0.50923,             0.37874,             0.42648,             0.22101,            0.038473,           0.0056711,            0.040253,           0.0091288,           0.0091288,           0.0091288
                  46,            0.043712,            0.015375,            0.027061,             0.54821,             0.42748,             0.47606,             0.27608,            0.040583,           0.0057151,            0.033996,            0.009109,            0.009109,            0.009109
                  47,            0.043553,            0.015353,            0.026447,              0.5388,             0.44302,             0.45225,               0.255,            0.040683,           0.0053871,            0.041633,           0.0090892,           0.0090892,           0.0090892
                  48,            0.042789,            0.015269,            0.025485,             0.57622,             0.41543,             0.47954,             0.25637,            0.040788,           0.0056061,            0.029695,           0.0090694,           0.0090694,           0.0090694
                  49,            0.043394,            0.015388,            0.025543,             0.58695,             0.43967,             0.48468,             0.27832,            0.035558,           0.0053713,            0.027595,           0.0090496,           0.0090496,           0.0090496
                  50,            0.042213,            0.015103,            0.025923,             0.57489,             0.48437,             0.50832,             0.28591,            0.042879,            0.005568,             0.03523,           0.0090298,           0.0090298,           0.0090298
                  51,            0.043115,            0.015049,            0.025921,             0.60133,             0.49812,             0.51914,             0.27955,            0.035003,            0.005782,            0.028714,             0.00901,             0.00901,             0.00901
                  52,            0.042682,            0.015304,            0.024103,             0.64526,             0.43272,             0.52909,             0.29536,            0.041756,           0.0055148,            0.033158,           0.0089902,           0.0089902,           0.0089902
